State,Households,fips
Alabama,1897576,01
Alaska  ,252199,02
Arizona  ,2670441,04
Arkansas  ,1163647,05
California  ,13157873,06
Colorado  ,2235103,08
Connecticut  ,1377166,09
Delaware  ,376239,10
District of Columbia  ,291570,11
Florida  ,7905832,12
Georgia  ,3852714,13
Hawaii  ,465299,15
Idaho  ,655859,16
Illinois  ,4866006,17
Indiana  ,2597765,18
Iowa  ,1287221,19
Kansas  ,1138329,20
Kentucky  ,1748732,21
Louisiana  ,1741076,22
Maine  ,573618,23
Maryland  ,2226767,24
Massachusetts  ,2650680,25
Michigan  ,3969880,26
Minnesota  ,2222568,27
Mississippi  ,1100229,28
Missouri  ,2458337,29
Montana  ,437651,30
Nebraska  ,771444,31
Nevada  ,1143557,32
New Hampshire  ,541396,33
New Jersey  ,3286264,34
New Mexico  ,793420,35
New York  ,7446812,36
North Carolina  ,4046348,37
North Dakota  ,323519,38
Ohio  ,4730340,39
Oklahoma  ,1495151,40
Oregon  ,1649352,41
Pennsylvania  ,5119249,42
Rhode Island  ,407174,44
South Carolina  ,1975915,45
South Dakota  ,353799,46
Tennessee  ,2654737,47
Texas  ,9985126,48
Utah  ,1023855,49
Vermont  ,262767,50
Virginia  ,3191847,51
Washington  ,2932477,53
West Virginia  ,728175,54
Wisconsin  ,2386623,55
Wyoming  ,233128,56
